exit	﻿η έξοδος
toilets	τα αποχωρητήρια
bank	η τράπεζα
stop	η στάση
restaurant	το εστιατόριο
taxi	το ταξί
clinic	η κλινική
Gents	Ανδρών
pedestrian zone	ο πεζόδρομος
roadworks	τα έργα
airport	ο αερολιμένας
airport	το αεροδρόμιο
railway station	ο σταθμός
entrance	η είσοδος
toilets	οι τουαλέτες
ladies	γυναίκες
Post Office	το ταχυδρομείο
hospital	το νοσοκομείο
bus	το λεωφορείο
information	η πληροφορία
bakery	το αρτοπωλείο
tobacconist's	το καπνοπωλείο
butcher's	το κρεοπωλείο
grocer's	το παντοπωλείο
bookshop	το βιβλιοπωλείο
stationer's	το χαρτοπωλείο
kiosk	το περίπτερο
OK	εντάξει
please, not at all	παρακαλώ
pharmacy	το φαρμακείο
Europe	η Ευρώπη
good evening	καλησπέρα
to introduce	συστήνω
you (pl)	σας
lady	η κυρία
gentleman	ο κύριος
“charmed”	χαίρω πολύ
as well, me too	επίσης
there's, here's	να
sorry, excuse me	συγνώμη
evening	το βράδυ
hello/goodbye	χαίρετε
friend (f.)	η φίλη
suitcase	η βαλίτσα
passport	το διαβατήριο
hotel	το ξενοδοχείο
quickly	γρήγορα
which?	ποιο;
where?	πού;
car	το αυτοκίνητο
no	όχι
certainly	μάλιστα
journey	το ταξίδι
aeroplane	το αεροπλάνο
slowly	σιγά
excuse me	με συγχωρείτε
newspaper	η εφημερίδα
my	μου
your	σου
his/her/its	του/της/του
our	μας
your (pl)	σας
their	τους
salad	η σαλάτα
cinema	το σινεμά
video	το βίντεο
photograph	η φωτογραφία
democracy	η δημοκρατία
a Greek (man)	ο Έλληνας
Greek woman	η Ελληνίδα
so so	έτσι κι έτσι
good, fine	καλός
Greek (language)	τα ελληνικά
orangeade	η πορτοκαλάδα
coffee	ο καφές
instant coff.	ο στιγμιαίος καφές
little coffee	το καφεδάκι
cheese	το τυρί
tomato	η ντομάτα
medium	μέτριος
dry, without sugar	σκέτος
for (preposition)	για
